codigo,descripcion,peso_bruto,volumen,pais_origen,codigo_viaje
M000000088,Productos quimicos no peligrosos,21908,154,Brasil,V000005230
M000000089,Maquinaria industrial pesada,19232,82,Hong Kong,V000004604
M000000090,Maquinaria industrial pesada,43885,51,Noruega,V000002980
M000000091,Acero laminado en bobinas,44564,183,China,V000000748
M000000092,Cafe de exportacion,11839,111,Brasil,V000009056
M000000093,Productos textiles y confecciones,39223,90,Reino Unido,V000009717
M000000094,Contenedor con productos electronicos,36989,16,Estados Unidos,V000001712
M000000095,Carga de granel de trigo,17341,61,Chile,V000004007
M000000096,Materiales de construccion,22377,105,Brasil,V000008149
M000000097,Maquinaria industrial pesada,42716,151,Malta,V000004215
M000000098,Productos textiles y confecciones,35051,46,Dinamarca,V000003167
M000000099,Productos quimicos no peligrosos,21806,140,Japon,V000003622
M000000100,Cafe de exportacion,28173,177,Colombia,V000002873
M000000101,Maquinaria industrial pesada,4612,111,Dinamarca,V000001193
M000000102,Acero laminado en bobinas,23702,117,China,V000004172
M000000103,Cafe de exportacion,1711,191,Alemania,V000002474
M000000104,Productos textiles y confecciones,39880,29,Alemania,V000008666
M000000105,Acero laminado en bobinas,4896,136,Ecuador,V000003655
M000000106,Productos textiles y confecciones,41602,83,Espana,V000008590
M000000107,Contenedor con productos electronicos,15990,6,Japon,V000001163
M000000108,Acero laminado en bobinas,37699,37,Singapur,V000006740
M000000109,Acero laminado en bobinas,3041,183,Dinamarca,V000008095
M000000110,Productos textiles y confecciones,16317,33,Reino Unido,V000004214
M000000111,Materiales de construccion,15219,178,Mexico,V000004059
M000000112,Contenedor con productos electronicos,49899,124,Alemania,V000004720
M000000113,Carga de granel de trigo,12755,82,Estados Unidos,V000008219
M000000114,Maquinaria industrial pesada,17080,102,Ecuador,V000009814
M000000115,Contenedor con productos electronicos,34898,22,Ecuador,V000003870
M000000116,Productos quimicos no peligrosos,49201,17,Colombia,V000002972
M000000117,Materiales de construccion,44678,72,Hong Kong,V000001954
M000000118,Maquinaria industrial pesada,33553,10,Ecuador,V000000246
M000000119,Frutas y alimentos refrigerados,44225,70,Alemania,V000002200
M000000120,Acero laminado en bobinas,49895,185,Chile,V000002721
M000000121,Carga de granel de trigo,48883,109,Singapur,V000004762
M000000122,Productos textiles y confecciones,27626,115,Islas Marshall,V000004174
M000000123,Maquinaria industrial pesada,25767,70,Singapur,V000009435
M000000124,Acero laminado en bobinas,30798,166,Estados Unidos,V000002875
M000000125,Materiales de construccion,24415,181,Estados Unidos,V000002708
M000000126,Productos quimicos no peligrosos,22469,136,Bahamas,V000005414
M000000127,Carga de granel de trigo,24150,112,Chile,V000003772
M000000128,Productos quimicos no peligrosos,16889,168,China,V000009801
M000000129,Contenedor con productos electronicos,5749,27,Colombia,V000009522
M000000130,Contenedor con productos electronicos,22811,127,Noruega,V000002688
M000000131,Contenedor con productos electronicos,31821,108,Hong Kong,V000000861
M000000132,Frutas y alimentos refrigerados,43524,42,Dinamarca,V000008769
M000000133,Maquinaria industrial pesada,7113,78,Liberia,V000009395
M000000134,Maquinaria industrial pesada,49949,26,Chile,V000004754
M000000135,Cafe de exportacion,38427,134,Noruega,V000002312
M000000136,Contenedor con productos electronicos,49328,118,Hong Kong,V000008183
M000000137,Piezas de repuesto automotrices,35838,147,Panama,V000008444
M000000138,Piezas de repuesto automotrices,28591,82,Peru,V000007290
M000000139,Acero laminado en bobinas,28473,183,Malta,V000008697
M000000140,Productos textiles y confecciones,34969,176,Liberia,V000001176
M000000141,Contenedor con productos electronicos,30934,48,Ecuador,V000005308
M000000142,Contenedor con productos electronicos,29261,23,Panama,V000007658
M000000143,Acero laminado en bobinas,15968,183,Ecuador,V000002779
M000000144,Materiales de construccion,8288,28,Islas Marshall,V000003796
M000000145,Cafe de exportacion,13273,188,Malta,V000003682
M000000146,Piezas de repuesto automotrices,23551,139,Estados Unidos,V000004395
M000000147,Acero laminado en bobinas,24977,36,Ecuador,V000009784
M000000148,Frutas y alimentos refrigerados,42408,85,Japon,V000006475
M000000149,Cafe de exportacion,20621,116,Peru,V000003790
M000000150,Frutas y alimentos refrigerados,33448,166,Singapur,V000005830
M000000151,Cafe de exportacion,46335,112,China,V000003144
M000000152,Productos textiles y confecciones,16628,153,Singapur,V000008114
M000000153,Maquinaria industrial pesada,46091,49,Alemania,V000008840
M000000154,Contenedor con productos electronicos,48457,112,Liberia,V000008696
M000000155,Contenedor con productos electronicos,11814,155,Liberia,V000006191
M000000156,Frutas y alimentos refrigerados,31548,132,Liberia,V000003320
M000000157,Contenedor con productos electronicos,36110,115,Peru,V000005339
M000000158,Materiales de construccion,29702,128,Panama,V000005273
M000000159,Maquinaria industrial pesada,9174,171,Peru,V000007658
M000000160,Maquinaria industrial pesada,29489,82,Panama,V000001195
M000000161,Acero laminado en bobinas,47977,179,Bahamas,V000007979
M000000162,Productos textiles y confecciones,29398,53,Chile,V000003454
M000000163,Materiales de construccion,34282,5,Bahamas,V000009945
M000000164,Piezas de repuesto automotrices,47791,13,Reino Unido,V000003014
M000000165,Maquinaria industrial pesada,932,163,Islas Marshall,V000006058
M000000166,Acero laminado en bobinas,28052,192,Alemania,V000003033
M000000167,Maquinaria industrial pesada,45782,143,Islas Marshall,V000005120
M000000168,Contenedor con productos electronicos,5401,157,Hong Kong,V000005403
M000000169,Carga de granel de trigo,26932,132,Chile,V000004412
M000000170,Contenedor con productos electronicos,30444,82,Liberia,V000002436
M000000171,Productos textiles y confecciones,14638,95,Grecia,V000004491
M000000172,Contenedor con productos electronicos,31455,189,Chile,V000009047
M000000173,Frutas y alimentos refrigerados,12059,124,Reino Unido,V000003890
M000000174,Frutas y alimentos refrigerados,43830,22,Singapur,V000006052
M000000175,Piezas de repuesto automotrices,21600,86,Espana,V000005234
M000000176,Piezas de repuesto automotrices,24755,38,Noruega,V000003309
M000000177,Productos textiles y confecciones,23569,8,Mexico,V000000716
M000000178,Maquinaria industrial pesada,25268,104,Peru,V000005981
M000000179,Frutas y alimentos refrigerados,23196,16,Reino Unido,V000001830
M000000180,Productos quimicos no peligrosos,30184,13,Alemania,V000000763
M000000181,Contenedor con productos electronicos,17148,76,Brasil,V000003593
M000000182,Productos quimicos no peligrosos,28584,72,Reino Unido,V000007854
M000000183,Piezas de repuesto automotrices,4820,25,Singapur,V000002915
M000000184,Materiales de construccion,10743,100,Peru,V000005727
M000000185,Contenedor con productos electronicos,49688,2,Brasil,V000007158
M000000186,Carga de granel de trigo,23543,57,China,V000002517
M000000187,Materiales de construccion,30440,101,Reino Unido,V000009044
M000000188,Acero laminado en bobinas,8740,110,Malta,V000007943
M000000189,Maquinaria industrial pesada,34711,35,Reino Unido,V000006309
M000000190,Productos quimicos no peligrosos,18073,61,Espana,V000004323
M000000191,Productos textiles y confecciones,40876,137,Mexico,V000008994
M000000192,Cafe de exportacion,22627,70,Mexico,V000003495
M000000193,Cafe de exportacion,49569,35,Estados Unidos,V000008553
M000000194,Productos textiles y confecciones,7523,184,Estados Unidos,V000003544
M000000195,Productos quimicos no peligrosos,39082,114,Noruega,V000001420
M000000196,Productos quimicos no peligrosos,21741,142,Espana,V000009835
M000000197,Productos quimicos no peligrosos,10378,33,Mexico,V000002099
M000000198,Productos textiles y confecciones,3207,168,Espana,V000009305
M000000199,Carga de granel de trigo,11943,22,Chile,V000005602
M000000200,Productos quimicos no peligrosos,2541,27,Estados Unidos,V000003550
M000000201,Materiales de construccion,28818,192,Noruega,V000002224
M000000202,Maquinaria industrial pesada,27982,94,Estados Unidos,V000004788
M000000203,Cafe de exportacion,19934,8,Dinamarca,V000009603
M000000204,Carga de granel de trigo,8231,24,Noruega,V000003925
M000000205,Cafe de exportacion,8018,25,Grecia,V000006130
M000000206,Maquinaria industrial pesada,15794,143,Islas Marshall,V000006524
M000000207,Contenedor con productos electronicos,46626,93,Noruega,V000002533
M000000208,Piezas de repuesto automotrices,46619,79,Espana,V000003967
M000000209,Productos textiles y confecciones,938,66,Mexico,V000000213
M000000210,Productos textiles y confecciones,18410,196,Islas Marshall,V000006294
M000000211,Frutas y alimentos refrigerados,43937,110,Bahamas,V000008296
M000000212,Cafe de exportacion,37430,99,Mexico,V000003671
M000000213,Maquinaria industrial pesada,30631,191,Chile,V000003826
M000000214,Piezas de repuesto automotrices,15363,139,Mexico,V000009144
M000000215,Carga de granel de trigo,19860,196,Chile,V000001795
M000000216,Maquinaria industrial pesada,27881,43,Peru,V000006464
M000000217,Contenedor con productos electronicos,48339,185,Estados Unidos,V000002872
M000000218,Frutas y alimentos refrigerados,25150,189,Brasil,V000002538
M000000219,Contenedor con productos electronicos,3441,3,Reino Unido,V000009621
M000000220,Materiales de construccion,35214,15,Hong Kong,V000000549
M000000221,Frutas y alimentos refrigerados,14538,71,Ecuador,V000007036
M000000222,Frutas y alimentos refrigerados,17951,152,Grecia,V000005256
M000000223,Cafe de exportacion,5610,45,Mexico,V000004188
M000000224,Acero laminado en bobinas,18613,65,Japon,V000006402
M000000225,Cafe de exportacion,25684,146,Brasil,V000003921
M000000226,Maquinaria industrial pesada,7482,26,Brasil,V000009312
M000000227,Contenedor con productos electronicos,15987,164,Peru,V000008748
M000000228,Productos textiles y confecciones,18699,143,Dinamarca,V000002817
M000000229,Contenedor con productos electronicos,32487,104,Peru,V000004402
M000000230,Materiales de construccion,45112,121,Reino Unido,V000004868
M000000231,Piezas de repuesto automotrices,23769,166,Ecuador,V000006496
M000000232,Acero laminado en bobinas,40398,75,Brasil,V000001614
M000000233,Contenedor con productos electronicos,4100,35,Estados Unidos,V000008867
M000000234,Piezas de repuesto automotrices,24213,154,Chile,V000005700
M000000235,Acero laminado en bobinas,24744,39,Brasil,V000004861
M000000236,Maquinaria industrial pesada,46466,58,Reino Unido,V000007733
M000000237,Frutas y alimentos refrigerados,12062,119,Panama,V000003444
M000000238,Cafe de exportacion,36033,27,Espana,V000008919
M000000239,Materiales de construccion,31392,175,Brasil,V000001391
M000000240,Productos textiles y confecciones,9826,36,Dinamarca,V000001179
M000000241,Piezas de repuesto automotrices,41247,21,Mexico,V000004808
M000000242,Frutas y alimentos refrigerados,25306,191,Espana,V000001943
M000000243,Piezas de repuesto automotrices,47274,83,Alemania,V000000274
M000000244,Maquinaria industrial pesada,5682,111,Singapur,V000007305
M000000245,Piezas de repuesto automotrices,36541,17,Noruega,V000003732
M000000246,Productos quimicos no peligrosos,45645,128,Grecia,V000009288
M000000247,Piezas de repuesto automotrices,5267,110,Colombia,V000004596
M000000248,Productos quimicos no peligrosos,19173,60,Islas Marshall,V000003285
M000000249,Maquinaria industrial pesada,2412,24,Islas Marshall,V000000341
M000000250,Frutas y alimentos refrigerados,20534,125,Dinamarca,V000006018
M000000251,Carga de granel de trigo,5196,115,Grecia,V000009130
M000000252,Productos textiles y confecciones,33265,147,Mexico,V000008787
M000000253,Carga de granel de trigo,12704,30,Colombia,V000004253
M000000254,Piezas de repuesto automotrices,17961,159,Colombia,V000008019
M000000255,Materiales de construccion,45425,183,Islas Marshall,V000007748
M000000256,Materiales de construccion,16683,59,Peru,V000007562
M000000257,Productos quimicos no peligrosos,12871,36,Peru,V000005778
M000000258,Contenedor con productos electronicos,44902,108,Ecuador,V000009392
M000000259,Productos textiles y confecciones,42333,118,Hong Kong,V000004272
M000000260,Acero laminado en bobinas,43426,106,Islas Marshall,V000004564
M000000261,Acero laminado en bobinas,6772,183,Singapur,V000000063
M000000262,Acero laminado en bobinas,19112,2,Japon,V000008031
M000000263,Frutas y alimentos refrigerados,42355,73,Noruega,V000002681
M000000264,Materiales de construccion,48798,193,Ecuador,V000006890
M000000265,Productos quimicos no peligrosos,35411,176,Colombia,V000001093
M000000266,Carga de granel de trigo,921,190,Reino Unido,V000007972
M000000267,Productos textiles y confecciones,40427,187,Bahamas,V000002275
M000000268,Acero laminado en bobinas,30822,30,Espana,V000008746
M000000269,Maquinaria industrial pesada,49987,22,Colombia,V000009013
M000000270,Frutas y alimentos refrigerados,17364,130,Panama,V000008268
M000000271,Contenedor con productos electronicos,2922,140,Grecia,V000004291
M000000272,Maquinaria industrial pesada,44835,191,Chile,V000001903
M000000273,Cafe de exportacion,34537,120,Grecia,V000005909
M000000274,Contenedor con productos electronicos,38639,2,Ecuador,V000004172
M000000275,Productos textiles y confecciones,24112,188,Peru,V000003302
M000000276,Productos quimicos no peligrosos,12347,24,Ecuador,V000000429
M000000277,Carga de granel de trigo,21801,26,Singapur,V000004174
M000000278,Cafe de exportacion,352,139,Dinamarca,V000005044
M000000279,Maquinaria industrial pesada,5051,180,Singapur,V000006879
M000000280,Acero laminado en bobinas,18924,17,Dinamarca,V000009776
M000000281,Contenedor con productos electronicos,46507,35,Japon,V000009848
M000000282,Piezas de repuesto automotrices,37709,163,Grecia,V000001756
M000000283,Frutas y alimentos refrigerados,3167,20,Singapur,V000006079
M000000284,Contenedor con productos electronicos,43623,41,Malta,V000002403
M000000285,Piezas de repuesto automotrices,19727,129,Singapur,V000004273
M000000286,Contenedor con productos electronicos,43345,151,Reino Unido,V000002316
M000000287,Productos quimicos no peligrosos,45093,179,Estados Unidos,V000008916
M000000288,Acero laminado en bobinas,151,147,Grecia,V000001998
M000000289,Productos quimicos no peligrosos,30351,37,Chile,V000005856
M000000290,Productos textiles y confecciones,5727,115,Brasil,V000004666
M000000291,Cafe de exportacion,27538,173,Alemania,V000002830
M000000292,Carga de granel de trigo,10127,26,Malta,V000000702
M000000293,Productos quimicos no peligrosos,14458,164,Chile,V000001759
M000000294,Carga de granel de trigo,10454,193,Chile,V000001659
M000000295,Cafe de exportacion,26320,155,Brasil,V000003918
M000000296,Carga de granel de trigo,22818,160,Japon,V000004169
M000000297,Piezas de repuesto automotrices,13758,141,Ecuador,V000005410
M000000298,Piezas de repuesto automotrices,10819,115,Liberia,V000008626
M000000299,Contenedor con productos electronicos,22127,34,Panama,V000008352
M000000300,Contenedor con productos electronicos,34628,67,Alemania,V000000879
M000000301,Materiales de construccion,36858,19,Grecia,V000009826
M000000302,Piezas de repuesto automotrices,15617,177,Liberia,V000005508
M000000303,Piezas de repuesto automotrices,16159,160,Hong Kong,V000006362
M000000304,Contenedor con productos electronicos,10937,153,Noruega,V000000021
M000000305,Cafe de exportacion,20699,157,Hong Kong,V000008733
M000000306,Piezas de repuesto automotrices,40014,87,Brasil,V000003207
M000000307,Contenedor con productos electronicos,30085,117,Chile,V000005593
M000000308,Productos textiles y confecciones,9793,81,Grecia,V000003617
M000000309,Materiales de construccion,30411,128,Espana,V000007075
M000000310,Materiales de construccion,8142,108,Bahamas,V000004929
M000000311,Contenedor con productos electronicos,17384,159,Grecia,V000004051
M000000312,Frutas y alimentos refrigerados,30908,35,Liberia,V000007438
M000000313,Materiales de construccion,48592,63,Espana,V000008568
M000000314,Materiales de construccion,17565,142,Espana,V000005486
M000000315,Productos quimicos no peligrosos,17159,171,Espana,V000004077
M000000316,Materiales de construccion,6838,18,Singapur,V000002521
M000000317,Materiales de construccion,38389,77,Alemania,V000004403
M000000318,Contenedor con productos electronicos,28439,144,Reino Unido,V000005104
M000000319,Frutas y alimentos refrigerados,3946,79,Reino Unido,V000000451
M000000320,Materiales de construccion,14587,111,Reino Unido,V000001157
M000000321,Contenedor con productos electronicos,495,161,Dinamarca,V000001377
M000000322,Acero laminado en bobinas,24510,66,Grecia,V000002652
M000000323,Maquinaria industrial pesada,34945,11,Reino Unido,V000006611
M000000324,Materiales de construccion,10461,125,Singapur,V000007973
M000000325,Maquinaria industrial pesada,25472,73,Mexico,V000002421
M000000326,Productos quimicos no peligrosos,34266,100,Brasil,V000006565
M000000327,Cafe de exportacion,9239,148,Panama,V000003223
M000000328,Carga de granel de trigo,7044,120,Alemania,V000005617
M000000329,Frutas y alimentos refrigerados,41401,12,Islas Marshall,V000004190
M000000330,Productos textiles y confecciones,25622,116,Noruega,V000008462
M000000331,Materiales de construccion,20958,199,Mexico,V000002413
M000000332,Carga de granel de trigo,7091,30,Alemania,V000007906
M000000333,Materiales de construccion,21980,23,Colombia,V000008742
M000000334,Cafe de exportacion,6188,122,Estados Unidos,V000008575
M000000335,Materiales de construccion,45946,40,Noruega,V000007917
M000000336,Productos quimicos no peligrosos,10223,117,Grecia,V000003520
M000000337,Frutas y alimentos refrigerados,18452,5,Chile,V000006103
M000000338,Piezas de repuesto automotrices,30781,9,China,V000002590
M000000339,Acero laminado en bobinas,25433,98,Espana,V000001758
M000000340,Acero laminado en bobinas,41637,150,Panama,V000006603
M000000341,Productos textiles y confecciones,22761,47,Dinamarca,V000007821
M000000342,Cafe de exportacion,37895,39,Dinamarca,V000000195
M000000343,Cafe de exportacion,7997,10,Brasil,V000003020
M000000344,Carga de granel de trigo,310,88,Colombia,V000003570
M000000345,Cafe de exportacion,49196,19,Panama,V000004187
M000000346,Acero laminado en bobinas,4207,188,Alemania,V000001436
M000000347,Cafe de exportacion,42908,159,Espana,V000000123
M000000348,Frutas y alimentos refrigerados,32431,168,Japon,V000005808
M000000349,Acero laminado en bobinas,30232,97,Singapur,V000008228
M000000350,Productos textiles y confecciones,46729,156,Islas Marshall,V000006284
M000000351,Piezas de repuesto automotrices,827,104,Malta,V000001720
M000000352,Contenedor con productos electronicos,19260,4,Reino Unido,V000004322
M000000353,Materiales de construccion,40373,76,Reino Unido,V000004859
M000000354,Productos textiles y confecciones,47525,181,Reino Unido,V000004968
M000000355,Contenedor con productos electronicos,9476,68,Alemania,V000003890
M000000356,Productos textiles y confecciones,24107,35,Singapur,V000003379
M000000357,Materiales de construccion,41680,178,Dinamarca,V000006332
M000000358,Materiales de construccion,16304,11,Chile,V000008376
M000000359,Materiales de construccion,10613,198,Islas Marshall,V000002523
M000000360,Acero laminado en bobinas,42298,102,Grecia,V000004401
M000000361,Maquinaria industrial pesada,49585,132,Espana,V000007792
M000000362,Carga de granel de trigo,16110,158,Noruega,V000009799
M000000363,Cafe de exportacion,35772,106,Bahamas,V000005781
M000000364,Productos quimicos no peligrosos,35055,176,Ecuador,V000004620
M000000365,Acero laminado en bobinas,30091,35,Singapur,V000006133
M000000366,Productos textiles y confecciones,13729,33,Islas Marshall,V000004661
M000000367,Materiales de construccion,35025,103,Brasil,V000009684
M000000368,Maquinaria industrial pesada,4974,55,Mexico,V000002385
M000000369,Maquinaria industrial pesada,30122,92,Peru,V000009446
M000000370,Carga de granel de trigo,36277,50,China,V000009123
M000000371,Materiales de construccion,39850,74,Noruega,V000007585
M000000372,Productos quimicos no peligrosos,34460,118,Noruega,V000008806
M000000373,Productos quimicos no peligrosos,10344,20,Estados Unidos,V000000778
M000000374,Productos textiles y confecciones,23671,25,Dinamarca,V000003449
M000000375,Maquinaria industrial pesada,33384,145,Dinamarca,V000009943
M000000376,Contenedor con productos electronicos,49291,5,Alemania,V000008089
M000000377,Productos textiles y confecciones,36740,169,Reino Unido,V000008340
M000000378,Productos quimicos no peligrosos,48569,165,Colombia,V000004975
M000000379,Cafe de exportacion,45942,110,Reino Unido,V000003435
M000000380,Cafe de exportacion,17332,72,Peru,V000001932
M000000381,Materiales de construccion,44680,11,Colombia,V000003964
M000000382,Acero laminado en bobinas,30221,163,Grecia,V000001360
M000000383,Productos textiles y confecciones,1292,118,Liberia,V000002822
M000000384,Contenedor con productos electronicos,27241,54,Noruega,V000001328
M000000385,Maquinaria industrial pesada,42068,31,China,V000009576
M000000386,Carga de granel de trigo,44046,195,Estados Unidos,V000007167
M000000387,Frutas y alimentos refrigerados,43012,181,Dinamarca,V000005451
M000000388,Maquinaria industrial pesada,22361,88,Grecia,V000008620
M000000389,Productos textiles y confecciones,20609,35,Brasil,V000005737
M000000390,Carga de granel de trigo,23424,122,Grecia,V000007842
M000000391,Acero laminado en bobinas,18980,36,Bahamas,V000002128
M000000392,Cafe de exportacion,46434,125,Bahamas,V000001018
M000000393,Acero laminado en bobinas,1389,130,Bahamas,V000006328
M000000394,Maquinaria industrial pesada,21029,142,Japon,V000000020
M000000395,Maquinaria industrial pesada,7965,133,Panama,V000004802
M000000396,Acero laminado en bobinas,2199,162,Peru,V000003109
M000000397,Materiales de construccion,44490,77,Grecia,V000007256
M000000398,Maquinaria industrial pesada,5690,54,Alemania,V000003488
M000000399,Productos quimicos no peligrosos,22820,160,Panama,V000005727
M000000400,Cafe de exportacion,47972,74,Liberia,V000001037
M000000401,Acero laminado en bobinas,46821,78,Bahamas,V000005229
M000000402,Cafe de exportacion,27931,92,Colombia,V000005607
M000000403,Carga de granel de trigo,12323,171,Estados Unidos,V000002882
M000000404,Piezas de repuesto automotrices,9127,130,Japon,V000000065
M000000405,Productos quimicos no peligrosos,36543,53,Islas Marshall,V000007745
M000000406,Productos quimicos no peligrosos,28763,4,Liberia,V000008376
M000000407,Productos quimicos no peligrosos,7744,9,Brasil,V000006554
M000000408,Maquinaria industrial pesada,31226,46,Liberia,V000007826
M000000409,Productos quimicos no peligrosos,30657,38,Liberia,V000009805
M000000410,Piezas de repuesto automotrices,13846,115,Islas Marshall,V000008270
M000000411,Acero laminado en bobinas,42054,116,Islas Marshall,V000003345
M000000412,Materiales de construccion,35156,91,Bahamas,V000001015
M000000413,Carga de granel de trigo,4681,160,Grecia,V000001545
M000000414,Maquinaria industrial pesada,27940,79,Mexico,V000003917
M000000415,Frutas y alimentos refrigerados,23875,98,Singapur,V000000269
M000000416,Materiales de construccion,16342,78,China,V000002804
M000000417,Frutas y alimentos refrigerados,37258,177,Liberia,V000006257
M000000418,Maquinaria industrial pesada,21870,82,Japon,V000002564
M000000419,Materiales de construccion,39522,163,Singapur,V000003135
M000000420,Materiales de construccion,18229,67,Reino Unido,V000008053
M000000421,Productos quimicos no peligrosos,25819,175,Reino Unido,V000007749
M000000422,Frutas y alimentos refrigerados,10326,89,Dinamarca,V000004512
M000000423,Acero laminado en bobinas,26508,140,Noruega,V000003072
M000000424,Frutas y alimentos refrigerados,32968,163,Dinamarca,V000002902
M000000425,Acero laminado en bobinas,20262,66,Chile,V000009481
M000000426,Cafe de exportacion,20281,184,Reino Unido,V000004739
M000000427,Contenedor con productos electronicos,32929,177,Peru,V000006968
