numero_omi,nombre,bandera,anio_construccion,capacidad_teu,eslora,manga,calado_maximo,nombre_naviera
9000049,Buque_000049,Islas Marshall,2014,14019,174,52,13,Naviera_000061
9000050,Buque_000050,Bahamas,1981,5527,241,35,7,Naviera_000040
9000051,Buque_000051,Japon,1990,3503,270,59,10,Naviera_000005
9000052,Buque_000052,Ecuador,2012,8584,210,39,15,Naviera_000015
9000053,Buque_000053,Noruega,1999,22559,299,54,15,Naviera_000077
9000054,Buque_000054,Alemania,2025,2066,381,58,16,Naviera_000018
9000055,Buque_000055,Panama,2024,12172,293,30,5,Naviera_000051
9000056,Buque_000056,Ecuador,1996,13747,77,15,10,Naviera_000034
9000057,Buque_000057,Singapur,2004,7757,377,43,17,Naviera_000065
9000058,Buque_000058,Malta,1988,22346,79,37,10,Naviera_000057
9000059,Buque_000059,Mexico,1989,9117,186,20,15,Naviera_000025
9000060,Buque_000060,Panama,1995,21534,57,29,13,Naviera_000086
9000061,Buque_000061,Alemania,2006,18367,278,35,13,Naviera_000062
9000062,Buque_000062,Colombia,2020,11083,153,29,15,Naviera_000025
9000063,Buque_000063,Bahamas,1995,22573,260,32,14,Naviera_000094
9000064,Buque_000064,Noruega,2015,21150,235,14,19,Naviera_000051
9000065,Buque_000065,Malta,1982,23731,385,27,11,Naviera_000077
9000066,Buque_000066,Islas Marshall,2015,17055,141,53,5,Naviera_000065
9000067,Buque_000067,Noruega,1983,3258,246,32,15,Naviera_000098
9000068,Buque_000068,Mexico,1984,9493,236,55,12,Naviera_000017
9000069,Buque_000069,Espana,2019,13209,72,30,13,Naviera_000087
9000070,Buque_000070,Peru,2022,20665,304,23,9,Naviera_000094
9000071,Buque_000071,Noruega,2005,3377,278,59,15,Naviera_000063
9000072,Buque_000072,Bahamas,1997,18616,377,50,7,Naviera_000080
9000073,Buque_000073,Peru,2000,2682,126,22,6,Naviera_000086
9000074,Buque_000074,Japon,2003,11118,138,48,9,Naviera_000093
9000075,Buque_000075,China,2005,14526,64,21,17,Naviera_000086
9000076,Buque_000076,Chile,2001,17048,50,19,19,Naviera_000024
9000077,Buque_000077,Reino Unido,1991,22473,182,32,17,Naviera_000010
9000078,Buque_000078,China,2015,18306,382,34,16,Naviera_000099
9000079,Buque_000079,Hong Kong,1996,10284,379,32,11,Naviera_000061
9000080,Buque_000080,Noruega,1990,18515,181,13,6,Naviera_000033
9000081,Buque_000081,Alemania,1994,21928,164,29,18,Naviera_000059
9000082,Buque_000082,Chile,2008,6064,261,40,9,Naviera_000076
9000083,Buque_000083,Noruega,2000,5500,231,40,7,Naviera_000010
9000084,Buque_000084,Colombia,2012,15358,355,27,12,Naviera_000089
9000085,Buque_000085,Estados Unidos,2015,19770,293,57,11,Naviera_000013
9000086,Buque_000086,Panama,2006,12280,102,58,15,Naviera_000062
9000087,Buque_000087,Espana,1994,22357,391,57,19,Naviera_000017
9000088,Buque_000088,Hong Kong,1995,9925,152,48,11,Naviera_000056
9000089,Buque_000089,Japon,1996,16637,384,19,15,Naviera_000049
9000090,Buque_000090,Malta,2025,17039,109,56,8,Naviera_000052
9000091,Buque_000091,Espana,1987,18758,266,42,12,Naviera_000015
9000092,Buque_000092,Estados Unidos,1983,5100,129,39,7,Naviera_000053
9000093,Buque_000093,Estados Unidos,2016,10678,101,50,9,Naviera_000001
9000094,Buque_000094,Estados Unidos,1996,20781,205,46,10,Naviera_000015
9000095,Buque_000095,Malta,2012,13555,144,59,18,Naviera_000064
9000096,Buque_000096,Liberia,1980,16663,101,42,5,Naviera_000084
9000097,Buque_000097,Panama,2016,17773,135,18,9,Naviera_000061
9000098,Buque_000098,Singapur,1991,23086,294,36,13,Naviera_000078
9000099,Buque_000099,Brasil,2002,15993,370,50,13,Naviera_000000
